Best Test Accuracy: 0.897900
Best Epoch: 57
Warmup Epochs: 10
Num Experts: 4
Top-k: 2
Expert Hidden Dim: 256
Gate Temperature: 1.2
Balance Loss Weight: 0.25
Gate LR Scale: 0.35
Initial Gate Noise Std: 0.12
Later Gate Noise Std: 0.03
Noise Transition Epoch: 28

Epoch-wise metrics:
Epoch 041 | Train Loss: 0.875091 | Train Acc: 0.848300 | Clean Train Acc: 0.903560 | Test Loss: 0.841181 | Test Acc: 0.862100
Epoch 042 | Train Loss: 0.869476 | Train Acc: 0.848520 | Clean Train Acc: 0.911220 | Test Loss: 0.827683 | Test Acc: 0.871000
Epoch 043 | Train Loss: 0.853454 | Train Acc: 0.855780 | Clean Train Acc: 0.907640 | Test Loss: 0.836044 | Test Acc: 0.864500
Epoch 044 | Train Loss: 0.850780 | Train Acc: 0.857320 | Clean Train Acc: 0.918980 | Test Loss: 0.814256 | Test Acc: 0.876700
Epoch 045 | Train Loss: 0.835742 | Train Acc: 0.864780 | Clean Train Acc: 0.915940 | Test Loss: 0.821257 | Test Acc: 0.869800
Epoch 046 | Train Loss: 0.826580 | Train Acc: 0.870060 | Clean Train Acc: 0.923720 | Test Loss: 0.807560 | Test Acc: 0.880700
Epoch 047 | Train Loss: 0.817271 | Train Acc: 0.874060 | Clean Train Acc: 0.926800 | Test Loss: 0.809015 | Test Acc: 0.877700
Epoch 048 | Train Loss: 0.805313 | Train Acc: 0.878720 | Clean Train Acc: 0.931720 | Test Loss: 0.800941 | Test Acc: 0.879300
Epoch 049 | Train Loss: 0.798132 | Train Acc: 0.882400 | Clean Train Acc: 0.936280 | Test Loss: 0.792972 | Test Acc: 0.883500
Epoch 050 | Train Loss: 0.790669 | Train Acc: 0.886200 | Clean Train Acc: 0.937240 | Test Loss: 0.792124 | Test Acc: 0.885900
Epoch 051 | Train Loss: 0.777164 | Train Acc: 0.893980 | Clean Train Acc: 0.943780 | Test Loss: 0.785080 | Test Acc: 0.887500
Epoch 052 | Train Loss: 0.772843 | Train Acc: 0.895340 | Clean Train Acc: 0.947500 | Test Loss: 0.778381 | Test Acc: 0.894600
Epoch 053 | Train Loss: 0.764489 | Train Acc: 0.898240 | Clean Train Acc: 0.950100 | Test Loss: 0.777286 | Test Acc: 0.892000
Epoch 054 | Train Loss: 0.759839 | Train Acc: 0.900700 | Clean Train Acc: 0.951300 | Test Loss: 0.772709 | Test Acc: 0.894900
Epoch 055 | Train Loss: 0.753178 | Train Acc: 0.904240 | Clean Train Acc: 0.954240 | Test Loss: 0.768813 | Test Acc: 0.897100
Epoch 056 | Train Loss: 0.749513 | Train Acc: 0.905420 | Clean Train Acc: 0.955320 | Test Loss: 0.768991 | Test Acc: 0.896700
Epoch 057 | Train Loss: 0.745103 | Train Acc: 0.908420 | Clean Train Acc: 0.956460 | Test Loss: 0.766887 | Test Acc: 0.897900
Epoch 058 | Train Loss: 0.744777 | Train Acc: 0.908560 | Clean Train Acc: 0.956580 | Test Loss: 0.766318 | Test Acc: 0.897200
Epoch 059 | Train Loss: 0.743321 | Train Acc: 0.908020 | Clean Train Acc: 0.956720 | Test Loss: 0.766344 | Test Acc: 0.897500
Epoch 060 | Train Loss: 0.744288 | Train Acc: 0.907420 | Clean Train Acc: 0.956860 | Test Loss: 0.766009 | Test Acc: 0.897200
